crop_id,region_id,suitability,typical_yield_t_ha
crop_wheat,reg_konya,high,2.8
crop_wheat,reg_gap,high,3.2
crop_wheat,reg_cukurova,medium,4.5
crop_barley,reg_konya,high,2.5
crop_barley,reg_gap,medium,2.2
crop_maize,reg_cukurova,high,9.5
crop_maize,reg_gap,high,8.8
crop_maize,reg_konya,medium,7.0
crop_cotton,reg_cukurova,high,4.8
crop_cotton,reg_gap,high,4.5
crop_cotton,reg_ege,medium,4.2
crop_sugarbeet,reg_konya,high,65.0
crop_sunflower,reg_konya,medium,2.2
crop_hazelnut,reg_karadeniz,high,1.1
crop_olive,reg_ege,high,3.5
crop_olive,reg_cukurova,medium,2.8
crop_grape,reg_ege,high,12.0
crop_chickpea,reg_konya,high,1.3
crop_chickpea,reg_gap,medium,1.1
