pest_id,region_id,season
pest_sunn_pest,reg_konya,spring
pest_sunn_pest,reg_gap,spring
pest_yellow_rust,reg_konya,spring
pest_yellow_rust,reg_cukurova,winter
pest_fall_armyworm,reg_cukurova,summer
pest_fall_armyworm,reg_gap,summer
pest_fall_armyworm,reg_konya,summer
pest_corn_borer,reg_cukurova,summer
pest_corn_borer,reg_konya,summer
pest_cotton_bollworm,reg_cukurova,summer
pest_cotton_bollworm,reg_gap,summer
pest_whitefly,reg_cukurova,summer
pest_verticillium,reg_cukurova,summer
pest_olive_fruit_fly,reg_ege,autumn
pest_hazelnut_weevil,reg_karadeniz,spring
pest_powdery_mildew,reg_ege,summer
pest_downy_mildew,reg_ege,spring
pest_cercospora,reg_konya,summer
pest_ascochyta,reg_konya,spring
