crop_id,soil_id,ph_min,ph_max
crop_wheat,soil_clay_loam,6.0,7.8
crop_wheat,soil_loam,6.0,7.8
crop_barley,soil_calcareous,6.5,8.4
crop_barley,soil_clay_loam,6.5,8.0
crop_maize,soil_loam,5.8,7.5
crop_maize,soil_clay_loam,5.8,7.5
crop_cotton,soil_clay,6.5,8.0
crop_cotton,soil_clay_loam,6.5,8.0
crop_sugarbeet,soil_loam,6.5,7.8
crop_sugarbeet,soil_clay_loam,6.5,7.8
crop_sunflower,soil_sandy_loam,6.0,7.5
crop_hazelnut,soil_acidic_forest,5.0,6.5
crop_olive,soil_calcareous,7.0,8.5
crop_olive,soil_sandy_loam,6.5,8.0
crop_grape,soil_sandy_loam,6.0,7.5
crop_grape,soil_calcareous,6.5,8.0
crop_chickpea,soil_clay_loam,6.0,8.0
