crop_id,pest_id,severity,growth_stage
crop_maize,pest_fall_armyworm,high,vegetative
crop_maize,pest_corn_borer,high,reproductive
crop_maize,pest_cotton_bollworm,medium,reproductive
crop_wheat,pest_sunn_pest,high,grain_filling
crop_wheat,pest_yellow_rust,high,tillering
crop_wheat,pest_septoria,medium,stem_elongation
crop_wheat,pest_wild_oat,medium,tillering
crop_barley,pest_sunn_pest,medium,grain_filling
crop_barley,pest_yellow_rust,medium,tillering
crop_cotton,pest_cotton_bollworm,high,flowering
crop_cotton,pest_whitefly,high,vegetative
crop_cotton,pest_verticillium,high,flowering
crop_olive,pest_olive_fruit_fly,high,fruit_development
crop_olive,pest_verticillium,medium,vegetative
crop_hazelnut,pest_hazelnut_weevil,high,fruit_development
crop_grape,pest_powdery_mildew,high,flowering
crop_grape,pest_downy_mildew,high,vegetative
crop_sugarbeet,pest_cercospora,high,canopy_closure
crop_sugarbeet,pest_root_knot_nematode,medium,establishment
crop_chickpea,pest_ascochyta,high,flowering
crop_chickpea,pest_cotton_bollworm,medium,podding
