pest_id,input_id,efficacy,application_rate,phi_days
pest_fall_armyworm,inp_bt,high,1.0 kg/ha,0
pest_fall_armyworm,inp_spinosad,high,0.2 L/ha,3
pest_fall_armyworm,inp_chlorpyrifos,medium,1.2 L/ha,21
pest_corn_borer,inp_bt,high,1.0 kg/ha,0
pest_corn_borer,inp_deltamethrin,medium,0.3 L/ha,14
pest_cotton_bollworm,inp_bt,medium,1.5 kg/ha,0
pest_cotton_bollworm,inp_deltamethrin,high,0.4 L/ha,14
pest_cotton_bollworm,inp_lambda_cyhalothrin,high,0.3 L/ha,14
pest_sunn_pest,inp_deltamethrin,high,0.3 L/ha,14
pest_sunn_pest,inp_lambda_cyhalothrin,high,0.25 L/ha,14
pest_yellow_rust,inp_tebuconazole,high,0.75 L/ha,35
pest_yellow_rust,inp_azoxystrobin,high,1.0 L/ha,35
pest_septoria,inp_tebuconazole,medium,0.75 L/ha,35
pest_septoria,inp_azoxystrobin,high,1.0 L/ha,35
pest_cercospora,inp_azoxystrobin,high,0.8 L/ha,28
pest_cercospora,inp_tebuconazole,medium,0.75 L/ha,28
pest_powdery_mildew,inp_sulfur,high,3.0 kg/ha,3
pest_powdery_mildew,inp_tebuconazole,high,0.4 L/ha,21
pest_downy_mildew,inp_copper_hydroxide,high,2.0 kg/ha,7
pest_olive_fruit_fly,inp_spinosad,high,1.0 L/ha,7
pest_olive_fruit_fly,inp_deltamethrin,medium,0.5 L/ha,14
pest_whitefly,inp_neem,medium,3.0 L/ha,3
pest_whitefly,inp_spirotetramat,high,0.5 L/ha,21
pest_verticillium,inp_trichoderma,medium,2.5 kg/ha,0
pest_hazelnut_weevil,inp_deltamethrin,medium,0.3 L/ha,21
pest_hazelnut_weevil,inp_spinosad,medium,0.3 L/ha,7
pest_ascochyta,inp_azoxystrobin,high,1.0 L/ha,28
